Variable:,pr
Country:,Germany
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,35.29,28.41,50.95,69.20,37.66,75.54,78.69,76.39,62.35,56.49,49.53,58.76
1902,47.36,28.28,54.44,35.15,78.80,63.67,80.99,99.45,50.21,53.68,11.80,66.33
1903,43.15,33.46,31.24,71.05,44.53,55.97,104.86,105.30,56.95,80.62,65.25,21.96
1904,35.52,69.12,34.00,50.51,71.13,57.20,35.73,57.24,63.64,51.93,56.49,45.16
1905,43.04,33.34,61.98,52.03,39.16,71.95,77.65,103.30,70.45,85.37,54.79,31.68
1906,65.55,44.89,60.13,35.42,81.08,67.38,83.67,78.17,56.02,32.01,51.07,57.59
1907,51.35,37.18,45.95,40.64,47.40,78.25,100.28,72.94,36.15,38.86,27.84,67.67
1908,31.54,55.79,35.50,60.35,89.44,59.40,86.37,91.70,55.10,5.23,36.01,23.73
1909,33.77,44.76,35.00,50.61,40.42,85.25,117.34,67.44,72.06,54.28,56.33,76.55
1910,65.92,63.30,22.93,47.41,63.49,104.13,110.91,103.68,59.27,20.31,90.78,49.75
1911,28.11,53.36,38.76,32.18,47.52,66.03,32.37,33.76,46.98,53.22,53.58,70.05
1912,55.85,42.97,55.11,33.95,67.00,94.83,73.70,125.01,62.13,59.21,60.51,56.23
1913,49.65,24.11,45.49,37.49,58.96,82.20,85.43,60.57,59.26,37.94,71.65,75.32
1914,45.33,33.21,92.13,36.99,79.75,77.84,118.20,58.66,72.04,44.69,42.76,58.47
1915,80.75,33.55,66.55,46.10,40.17,43.13,94.18,87.66,49.73,43.28,48.48,103.46
1916,67.58,60.10,41.91,51.73,60.13,100.84,87.94,87.44,58.07,62.55,48.26,76.82
1917,55.65,12.27,46.16,53.80,34.58,61.23,77.93,110.53,39.42,98.47,46.79,37.35
1918,63.02,35.16,20.22,58.88,28.91,66.81,88.40,83.26,91.85,46.83,26.19,95.63
1919,36.22,36.90,62.90,62.68,24.45,64.32,92.02,52.54,41.90,51.50,82.06,105.67
1920,80.77,32.59,27.07,75.23,77.40,47.96,111.27,80.44,70.29,12.52,9.15,46.57
1921,79.25,18.38,16.86,33.18,54.92,63.18,32.49,75.60,33.33,38.01,39.28,49.80
1922,61.68,44.21,50.64,75.16,41.34,69.34,108.79,101.25,92.00,57.01,63.30,66.08
1923,54.35,50.27,26.77,47.32,77.49,67.23,59.43,66.20,52.01,112.62,59.39,62.64
1924,26.63,31.15,29.56,73.75,78.07,74.86,101.47,111.28,77.41,44.98,38.15,25.79
1925,47.25,43.25,44.24,52.87,46.48,45.54,75.46,100.36,84.62,48.01,51.73,87.58
1926,51.81,55.25,45.30,29.09,82.91,111.36,116.93,59.96,41.16,94.24,53.08,43.77
1927,56.20,34.52,48.49,81.70,45.54,105.60,109.91,121.47,79.48,34.12,56.35,31.45
1928,50.55,55.63,23.59,59.14,54.15,65.87,45.18,95.93,28.54,68.98,86.39,53.53
1929,35.31,21.99,10.20,46.17,44.27,70.44,77.13,54.76,31.94,85.72,41.39,80.47
1930,33.80,16.66,34.23,68.26,85.89,53.62,134.38,93.70,80.53,90.79,90.34,32.06
1931,80.43,44.37,30.47,62.81,67.64,77.99,136.94,119.94,77.11,45.16,21.58,44.48
1932,46.39,11.59,27.40,54.45,83.40,52.79,99.70,60.12,78.50,94.07,42.08,12.48
1933,30.11,42.40,28.54,29.92,80.21,102.55,75.58,54.70,46.10,64.13,38.81,18.48
1934,46.13,21.95,36.36,35.76,30.77,72.72,57.91,100.72,54.60,68.24,41.75,51.35
1935,48.43,78.19,27.29,86.89,53.98,88.39,45.32,62.64,74.12,92.10,34.33,52.98
1936,69.54,54.83,24.74,72.48,47.64,68.54,124.19,66.54,75.85,61.26,46.63,39.04
1937,56.89,86.51,60.62,70.82,59.56,74.92,63.66,71.80,68.86,32.34,35.18,48.36
1938,83.04,29.71,23.35,30.36,64.66,55.08,87.63,100.52,47.03,65.60,45.49,45.09
1939,63.18,25.46,64.55,51.48,76.40,64.05,100.71,83.78,78.47,115.71,85.42,46.77
1940,29.51,36.15,68.76,50.35,56.32,66.25,124.37,79.70,97.45,34.21,79.05,58.42
1941,58.26,46.34,51.09,46.90,60.63,68.19,99.09,123.00,35.04,100.49,30.13,54.78
1942,41.09,27.98,34.57,31.62,65.79,56.34,120.67,53.48,55.74,67.67,47.43,32.66
1943,47.36,32.98,20.37,52.67,39.74,89.45,61.21,78.13,66.64,10.77,57.19,27.95
1944,63.29,48.86,45.30,37.28,47.59,92.72,96.89,49.86,73.86,63.37,116.01,53.98
1945,47.49,68.74,32.55,51.52,64.94,72.58,73.68,127.58,54.70,36.21,41.94,61.32
1946,38.11,90.67,27.03,23.01,63.08,119.46,86.58,74.48,68.50,49.83,34.02,36.22
1947,32.19,30.04,70.15,44.07,40.05,64.02,78.25,29.57,29.18,19.18,98.64,92.74
1948,93.35,58.47,25.02,37.80,52.78,85.04,109.02,112.35,34.44,34.95,26.89,23.94
1949,38.42,27.08,36.10,54.20,84.71,53.87,47.21,69.20,44.26,28.51,54.09,78.19
1950,44.49,69.98,21.78,75.76,60.28,58.33,109.90,93.06,81.42,39.56,93.97,49.78
1951,69.41,45.14,61.64,40.92,65.87,94.13,68.73,77.83,57.41,12.40,79.31,41.64
1952,61.53,41.16,60.43,32.06,51.70,69.31,49.12,76.24,82.92,80.34,92.39,60.17
1953,36.96,40.28,10.79,43.33,57.26,118.73,100.85,54.79,41.56,25.44,17.14,28.56
1954,58.15,23.42,25.95,48.12,50.77,61.50,136.68,121.31,89.24,69.75,39.02,82.13
1955,58.56,52.76,29.49,38.75,66.88,87.85,106.10,64.05,62.99,49.90,21.33,80.42
1956,60.18,26.00,41.37,58.80,46.69,103.79,103.49,104.84,43.94,84.27,44.74,41.57
1957,36.89,77.78,50.63,25.36,47.84,73.88,117.45,88.09,101.54,29.31,30.21,43.58
1958,62.81,94.33,28.86,46.88,84.17,80.95,98.82,99.40,59.43,71.86,29.29,62.70
1959,54.98,8.38,31.79,54.86,45.48,57.49,65.65,72.46,7.81,49.90,35.76,52.14
1960,60.28,40.46,31.75,37.67,63.21,63.55,95.60,124.68,50.81,102.24,69.35,71.12
1961,54.41,54.28,37.86,69.57,91.18,87.50,90.37,79.19,38.81,48.96,52.90,74.52
1962,61.12,59.01,46.90,46.73,79.22,34.89,82.32,76.42,58.68,19.41,28.44,65.11
1963,23.29,20.20,45.66,43.08,53.46,83.20,59.30,119.59,52.66,40.34,83.93,11.18
1964,22.31,32.56,43.04,51.19,64.46,63.70,41.92,78.01,47.77,64.96,62.19,40.36
1965,75.60,34.26,50.63,85.70,91.08,96.33,129.49,64.67,74.62,14.64,74.74,106.27
1966,43.58,64.19,56.73,70.73,65.32,108.96,120.68,104.97,36.89,67.83,55.21,105.83
1967,50.97,47.11,62.58,42.18,77.35,75.15,66.93,82.14,80.55,60.93,47.53,69.33
1968,74.02,40.07,39.85,42.96,65.35,83.82,81.37,108.34,106.09,61.63,41.15,29.72
1969,44.27,47.72,38.76,66.01,74.73,93.62,47.83,105.69,21.19,19.11,76.01,31.34
1970,41.41,101.74,51.30,85.83,67.15,61.96,88.55,80.03,52.57,80.28,63.79,39.94
1971,27.45,32.02,27.95,30.79,66.03,112.91,33.78,70.05,40.11,28.84,59.35,33.53
1972,19.28,12.04,34.69,61.36,82.07,94.73,87.26,75.92,41.52,28.23,74.18,15.28
1973,29.48,45.68,22.06,61.49,59.05,60.33,92.93,40.21,47.03,67.32,70.75,55.62
1974,48.63,48.25,31.37,17.84,61.78,82.59,91.46,68.78,65.57,112.67,65.86,104.22
1975,57.05,18.28,46.92,53.43,48.94,83.52,78.61,76.66,55.09,35.11,56.34,24.47
1976,90.19,20.52,19.21,25.04,55.40,32.37,70.03,39.52,60.30,41.32,55.83,40.29
1977,52.34,74.51,44.17,73.56,38.37,85.50,75.90,97.81,41.49,42.37,90.47,49.25
1978,40.17,35.80,66.91,25.98,87.14,72.30,74.26,89.68,88.13,45.34,19.11,77.32
1979,42.48,42.71,79.17,60.07,60.57,78.35,68.44,75.00,55.30,26.19,85.49,88.43
1980,41.22,46.82,37.76,71.05,38.35,106.68,128.97,70.86,51.09,73.63,48.15,57.02
1981,71.07,32.18,82.06,35.26,75.41,88.25,100.61,75.72,67.17,115.05,71.15,83.30
1982,69.13,14.03,41.99,31.84,61.57,85.09,60.07,74.13,28.71,77.10,40.41,70.98
1983,75.51,41.07,50.09,91.70,114.35,57.58,33.05,60.32,61.39,39.74,47.16,48.34
1984,81.23,56.66,18.92,37.47,98.99,79.50,71.21,54.61,101.10,59.46,47.65,37.20
1985,47.99,25.82,41.99,58.61,61.65,98.15,68.16,87.01,46.65,15.81,59.79,66.30
1986,84.70,15.32,60.91,55.91,81.23,67.62,75.35,85.60,54.14,66.06,36.63,86.94
1987,53.07,51.97,53.97,39.03,86.06,109.80,113.48,76.81,80.30,44.71,65.78,48.10
1988,67.65,79.51,105.00,24.85,44.22,67.47,103.74,61.40,61.13,48.99,50.01,86.13
1989,18.93,43.70,45.52,78.85,25.32,61.62,82.93,68.80,46.56,53.14,42.19,69.45
1990,35.82,88.49,30.90,51.64,37.09,111.50,44.39,70.09,81.59,47.01,75.30,60.32
1991,38.26,23.55,31.27,35.17,46.87,109.74,63.51,47.40,47.90,31.47,66.47,62.57
1992,32.56,38.22,82.09,51.99,30.64,67.35,91.12,88.95,38.11,72.29,92.44,49.26
1993,69.84,27.55,18.12,34.31,66.62,77.03,137.06,62.49,85.18,66.81,31.38,117.07
1994,72.41,28.94,77.47,76.07,71.04,62.61,62.00,95.11,80.29,47.03,47.25,68.98
1995,87.51,64.82,66.47,50.99,73.50,88.08,74.60,80.53,80.47,23.75,49.35,41.36
1996,5.59,40.20,21.23,21.75,88.99,54.91,85.55,84.28,43.13,69.03,71.26,36.46
1997,10.35,70.89,40.79,41.71,61.26,89.68,110.62,49.65,27.76,58.03,36.37,68.52
1998,52.20,21.37,54.75,68.47,41.34,93.12,81.40,62.34,94.54,132.18,59.94,47.25
1999,54.61,65.36,55.05,54.97,72.78,79.58,74.92,72.66,50.22,40.81,48.19,99.75
2000,44.89,70.12,77.23,37.70,64.92,52.52,108.79,73.40,74.39,57.91,52.65,43.22
2001,51.37,49.22,88.02,68.03,41.98,82.75,78.33,69.91,110.36,44.88,68.12,59.40
2002,37.94,89.27,54.28,45.96,76.00,76.26,111.23,113.65,56.93,93.86,97.55,57.64
2003,64.82,16.43,22.20,36.58,62.82,61.52,70.58,33.90,43.36,70.42,37.78,47.92
2004,87.27,44.95,32.92,35.81,62.76,72.86,104.03,84.53,51.80,56.20,59.02,39.23
2005,54.56,52.42,36.75,50.12,72.63,55.20,122.33,88.01,50.09,40.59,40.79,54.70
2006,23.42,42.57,65.65,60.91,82.28,48.80,57.58,130.77,34.81,59.47,49.65,44.82
2007,80.16,64.95,56.77,6.74,116.10,107.85,125.01,96.77,83.24,24.18,70.58,53.44
2008,62.67,35.52,69.18,74.57,32.73,60.58,88.49,84.82,55.61,74.54,39.59,41.86
2009,29.15,53.43,63.17,27.44,75.93,82.64,107.77,43.04,38.62,70.39,83.58,76.33
2010,38.79,39.59,43.13,21.13,95.90,52.58,81.78,143.95,74.29,34.80,87.52,75.77
2011,51.03,28.43,22.03,24.53,44.67,85.03,113.20,98.36,54.52,50.39,2.68,102.74
2012,86.76,23.07,13.62,40.88,53.30,95.18,103.65,65.69,46.85,58.91,57.29,81.22
2013,57.35,47.35,32.70,37.61,118.96,88.19,42.44,59.49,76.97,75.66,64.94,40.07
2014,42.97,29.41,16.65,41.32,87.54,50.07,128.60,99.86,52.63,64.72,31.98,67.73
2015,76.92,21.84,45.26,39.17,51.91,61.66,65.39,75.38,52.91,49.17,83.33,32.32
2016,67.94,68.57,38.59,51.72,66.33,109.69,80.73,53.89,40.07,58.02,51.71,25.97
2017,40.87,41.82,49.61,43.82,55.95,95.24,123.70,86.46,64.18,75.12,71.08,66.91
2018,85.17,18.65,46.06,35.25,53.11,52.09,47.36,51.92,45.12,28.18,19.87,88.42
2019,61.96,27.62,58.44,25.41,74.80,61.33,57.64,70.39,62.53,75.71,52.51,47.88
2020,34.90,105.69,43.84,18.10,38.33,87.50,55.89,84.20,53.33,72.36,17.62,49.84
2021,72.21,46.41,38.99,32.64,87.26,96.52,110.10,108.48,33.32,42.06,49.76,54.83
